code,name,market,close,volume,trade_value,turnover,short_used_ratio,margin_used_ratio
00905,FT臺灣Smart,TWSE,19.58,2104726.0,41055431.0,0.0,0.0,0.0
00907,永豐優息存股,TWSE,15.64,1073973.0,16793078.0,0.0,0.0,0.0
00908,富邦入息REITs+,TWSE,14.5,289405.0,4196914.0,0.0,0.0,0.0
00909,國泰數位支付服務,TWSE,38.89,3309506.0,128998612.0,0.0,0.0,0.0
00910,第一金太空衛星,TWSE,55.15,3914808.0,216379344.0,0.0,0.0,0.0
00911,兆豐洲際半導體,TWSE,37.71,309608.0,11676983.0,0.0,0.0,0.0
00912,中信臺灣智慧50,TWSE,24.47,972640.0,23657887.0,0.0,0.0,0.0
00913,兆豐台灣晶圓製造,TWSE,30.87,1377099.0,42343796.0,0.0,0.0,0.0
00915,凱基優選高股息30,TWSE,24.14,10327208.0,249554535.0,0.0,0.0,0.0
00916,國泰全球品牌50,TWSE,26.72,384085.0,10271504.0,0.0,0.0,0.0
00917,中信特選金融,TWSE,21.85,1634000.0,35724360.0,0.0,0.0,0.0
00918,大華優利高填息30,TWSE,23.22,23774895.0,551399834.0,0.0,0.0,0.0
00919,群益台灣精選高息,TWSE,23.72,99845785.0,2365018437.0,0.0,0.0,0.0
00920,富邦ESG綠色電力,TWSE,20.96,1059521.0,22183780.0,0.0,0.0,0.0
00921,兆豐龍頭等權重,TWSE,18.57,2178623.0,40387394.0,0.0,0.0,0.0
00922,國泰台灣領袖50,TWSE,30.16,10809173.0,325024336.0,0.0,0.0,0.0
00923,群益台ESG低碳50,TWSE,30.73,22723088.0,694614167.0,0.0,0.0,0.0
00924,復華S&P500成長,TWSE,28.85,3369236.0,97255556.0,0.0,0.0,0.0
00926,凱基全球菁英55,TWSE,23.63,1233903.0,29197123.0,0.0,0.0,0.0
00927,群益半導體收益,TWSE,24.83,11228530.0,278333750.0,0.0,0.0,0.0
00929,復華台灣科技優息,TWSE,19.28,33137585.0,639087103.0,0.0,0.0,0.0
00930,永豐ESG低碳高息,TWSE,18.06,4336024.0,78189634.0,0.0,0.0,0.0
00932,兆豐永續高息等權,TWSE,14.83,548298.0,8128079.0,0.0,0.0,0.0
00934,中信成長高股息,TWSE,21.8,3375456.0,73501129.0,0.0,0.0,0.0
00935,野村臺灣新科技50,TWSE,37.3,8791276.0,326434515.0,0.0,0.0,0.0
00936,台新永續高息中小,TWSE,17.39,3113608.0,54101439.0,0.0,0.0,0.0
00938,凱基優選30,TWSE,19.21,792037.0,15187644.0,0.0,0.0,0.0
00939,統一台灣高息動能,TWSE,15.79,15477364.0,244166424.0,0.0,0.0,0.0
00940,元大台灣價值高息,TWSE,9.71,65734662.0,637909971.0,0.0,0.0,0.0
00941,中信上游半導體,TWSE,21.81,4017747.0,87648699.0,0.0,0.0,0.0
00943,兆豐電子高息等權,TWSE,14.8,159362.0,2352505.0,0.0,0.0,0.0
00944,野村趨勢動能高息,TWSE,15.02,1061005.0,15929211.0,0.0,0.0,0.0
00945B,凱基美國非投等債,TWSE,14.56,10240874.0,149256721.0,0.0,0.0,0.0
00946,群益科技高息成長,TWSE,10.06,5115455.0,51454601.0,0.0,0.0,0.0
00947,台新臺灣IC設計,TWSE,23.26,8087418.0,187066846.0,0.0,0.0,0.0
00949,復華日本龍頭,TWSE,20.88,4109264.0,85656008.0,0.0,0.0,0.0
00951,台新日本半導體,TWSE,15.24,14910522.0,225829810.0,0.0,0.0,0.0
00952,凱基台灣AI50,TWSE,12.45,2435657.0,30285940.0,0.0,0.0,0.0
00953B,群益優選非投等債,TWSE,9.7,38977138.0,377992206.0,0.0,0.0,0.0
00954,中信日本半導體,TWSE,16.31,9151007.0,148502258.0,0.0,0.0,0.0
00956,中信日經高股息,TWSE,13.39,1367134.0,18261725.0,0.0,0.0,0.0
00960,野村全球航運龍頭,TWSE,15.58,2111842.0,33002877.0,0.0,0.0,0.0
00961,FT臺灣永續高息,TWSE,10.08,1691029.0,17026270.0,0.0,0.0,0.0
00962,台新AI優息動能,TWSE,11.15,597664.0,6652191.0,0.0,0.0,0.0
00963,中信全球高股息,TWSE,12.39,734511.0,9114248.0,0.0,0.0,0.0
00964,中信亞太高股息,TWSE,13.28,2605689.0,34546717.0,0.0,0.0,0.0
00965,元大航太防衛科技,TWSE,26.1,3767119.0,98392778.0,0.0,0.0,0.0
00971,野村美國研發龍頭,TWSE,15.49,1174328.0,18210921.0,0.0,0.0,0.0
00972,野村日本動能高息,TWSE,21.08,626236.0,13176528.0,0.0,0.0,0.0
009800,中信NASDAQ,TWSE,11.06,2766348.0,30604167.0,0.0,0.0,0.0
009801,中信美國創新科技,TWSE,10.75,2297776.0,24769876.0,0.0,0.0,0.0
009802,富邦旗艦50,TWSE,12.92,4606410.0,59063064.0,0.0,0.0,0.0
009803,保德信市值動能50,TWSE,15.49,1686541.0,25923382.0,0.0,0.0,0.0
009804,聯邦台精彩50,TWSE,16.9,853240.0,14343177.0,0.0,0.0,0.0
009805,新光美國電力基建,TWSE,14.18,21870682.0,310307401.0,0.0,0.0,0.0
009808,華南永昌優選50,TWSE,22.88,1022483.0,23249381.0,0.0,0.0,0.0
009809,富邦淨零ESG50,TWSE,12.32,1399087.0,17186386.0,0.0,0.0,0.0
00980A,主動野村臺灣優選,TWSE,17.07,16946277.0,288262166.0,0.0,0.0,0.0
009810,保德信全球藍籌,TWSE,18.9,113876.0,2154068.0,0.0,0.0,0.0
009811,統一美國50,TWSE,11.65,3735085.0,43514023.0,0.0,0.0,0.0
009812,野村日本東證,TWSE,12.46,4245705.0,52743873.0,0.0,0.0,0.0
009813,貝萊德標普卓越50,TWSE,10.42,8107180.0,84566549.0,0.0,0.0,0.0
009816,凱基台灣TOP50,TWSE,10.84,338105044.0,3644448546.0,0.0,0.0,0.0
009817,國泰日本不動產,TWSE,10.16,65852203.0,664954984.0,0.0,0.0,0.0
00981A,主動統一台股增長,TWSE,18.88,84003041.0,1581837661.0,0.0,0.0,0.0
00981T,平衡凱基雙核收息,TWSE,11.33,6524868.0,73854008.0,0.0,0.0,0.0
00982A,主動群益台灣強棒,TWSE,15.73,40444772.0,633490757.0,0.0,0.0,0.0
00982D,主動富邦動態入息,TWSE,10.19,4023192.0,41033832.0,0.0,0.0,0.0
00982T,平衡兆豐台美動能,TWSE,11.5,10695008.0,121899431.0,0.0,0.0,0.0
00983A,主動中信ARK創新,TWSE,10.95,4196451.0,45995998.0,0.0,0.0,0.0
00983D,主動富邦複合收益,TWSE,10.28,1458273.0,15016379.0,0.0,0.0,0.0
00984A,主動安聯台灣高息,TWSE,12.05,7478052.0,90080043.0,0.0,0.0,0.0
00984D,主動聯博全球非投,TWSE,9.99,9414614.0,94096665.0,0.0,0.0,0.0
00985A,主動野村台灣50,TWSE,15.53,8081279.0,124971459.0,0.0,0.0,0.0
