date,next_date,breadth,used,miss_today,miss_next,net_ret,expo_none,expo_tier,expo_cont,eq_none,eq_tier,eq_cont,eq_none_next,eq_tier_next,eq_cont_next
20260205,20260206,0.000000,5,0,0,-0.04973324,1.000000,0.000000,0.000000,1000000.000000,1000000.000000,1000000.000000,950266.756080,1000000.000000,1000000.000000
20260206,20260209,0.000000,5,0,0,0.02998601,1.000000,0.000000,0.000000,950266.756080,1000000.000000,1000000.000000,978761.464618,1000000.000000,1000000.000000
20260209,20260210,0.000000,5,0,0,0.01464364,1.000000,0.000000,0.000000,978761.464618,1000000.000000,1000000.000000,993094.096097,1000000.000000,1000000.000000
20260210,20260211,0.000000,5,0,0,0.02421991,1.000000,0.000000,0.000000,993094.096097,1000000.000000,1000000.000000,1017146.750034,1000000.000000,1000000.000000
