code,name,market,trade_value,tv_rank_mkt,tv_pct_mkt,turnover,light_full,light_decision,light_top20
2330,台積電,TWSE,85190057142.0,1.0,1.0,0.0,1.0,0,1
2408,南亞科,TWSE,26293104289.0,2.0,0.9990671641791045,0.0,1.0,0,1
2337,旺宏,TWSE,25061399682.0,3.0,0.9981343283582089,0.0,1.0,0,1
3037,欣興,TWSE,23525775708.0,4.0,0.9972014925373134,0.0,1.0,0,1
2344,華邦電,TWSE,21008050117.0,5.0,0.996268656716418,0.0,1.0,0,1
2454,聯發科,TWSE,20663380075.0,6.0,0.9953358208955224,0.0,1.0,0,1
3189,景碩,TWSE,15854273355.0,7.0,0.9944029850746269,0.0,1.0,0,1
8046,南電,TWSE,15157342146.0,8.0,0.9934701492537313,0.0,1.0,0,1
2345,智邦,TWSE,13137197460.0,9.0,0.9925373134328358,0.0,1.0,0,1
6770,力積電,TWSE,12354135705.0,10.0,0.9916044776119403,0.0,1.0,0,1
2313,華通,TWSE,12340123533.0,11.0,0.9906716417910447,0.0,1.0,0,1
3711,日月光投控,TWSE,11956446883.0,12.0,0.9897388059701493,0.0,1.0,0,1
2317,鴻海,TWSE,10395442089.0,13.0,0.9888059701492538,0.0,1.0,0,1
2308,台達電,TWSE,9923916222.0,14.0,0.9878731343283582,0.0,1.0,0,1
2301,光寶科,TWSE,9318756105.0,15.0,0.9869402985074627,0.0,1.0,0,1
2368,金像電,TWSE,8959345806.0,16.0,0.9860074626865671,0.0,1.0,0,1
3653,健策,TWSE,8774311005.0,17.0,0.9850746268656716,0.0,1.0,0,1
2449,京元電子,TWSE,7864554958.0,18.0,0.9841417910447762,0.0,1.0,0,1
1303,南亞,TWSE,7688186164.0,19.0,0.9832089552238806,0.0,1.0,0,1
3167,大量,TWSE,7376148404.0,20.0,0.9822761194029851,0.0,1.0,0,1
